                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.92793,                0.80786,                  1.265,                0.98469,                0.78049,                0.93778,                0.50819,                 1.3762,                 1.0006,                 2.1308,                0.00058,                0.00058,                0.00058
                      2,                0.93295,                0.80807,                 1.2855,                0.93345,                0.92683,                0.97007,                0.59691,                 1.1468,                0.87897,                 1.7687,              0.0007906,              0.0007906,              0.0007906
                      3,                0.93285,                0.74355,                 1.2806,                0.90417,                0.92057,                0.95299,                 0.6091,                  1.063,                0.79505,                 1.7532,              0.0006052,              0.0006052,              0.0006052
