                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1478,                 3.6705,                 4.1936,                0.00272,                 0.7561,                0.50549,                0.16797,                 2.6204,                  3.851,                 4.0677,                0.00058,                0.00058,                0.00058
                      2,                 3.0785,                 3.4242,                 3.9553,                  0.008,                0.60976,                0.07607,                 0.0232,                 3.3653,                 5.6369,                 4.1847,              0.0007906,              0.0007906,              0.0007906
                      3,                 2.9536,                  3.353,                 3.7709,                0.00219,                0.60976,                0.02614,                0.00728,                 3.3606,                 4.5753,                 3.8921,              0.0006052,              0.0006052,              0.0006052
