                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.8556,                 2.0154,                 2.4707,                0.60493,                0.84501,                 0.7449,                0.33403,                 1.8146,                 2.2221,                 2.9161,              0.0003664,              0.0003664,              0.0003664
                     35,                  1.831,                 1.9874,                 2.4781,                0.58379,                0.86207,                0.78664,                0.32798,                 1.8586,                 1.9238,                 2.8805,              0.0003466,              0.0003466,              0.0003466
                     36,                 1.7878,                 1.9063,                 2.4132,                0.56583,                0.76408,                0.73684,                0.28196,                 1.8404,                 1.6466,                 2.7566,              0.0003268,              0.0003268,              0.0003268
                     37,                 1.7723,                 1.9563,                 2.4704,                0.59552,                0.60948,                0.70985,                0.32242,                 1.7913,                 1.6741,                 2.7326,               0.000307,               0.000307,               0.000307
                     38,                 1.7029,                 1.8897,                 2.4421,                0.81481,                0.65517,                 0.7843,                 0.3614,                 1.7135,                 1.5459,                 2.6957,              0.0002872,              0.0002872,              0.0002872
                     39,                 1.8493,                 1.9225,                 2.4637,                 0.7427,                0.69694,                0.82848,                0.39095,                 1.6935,                 1.4904,                 2.6792,              0.0002674,              0.0002674,              0.0002674
                     40,                 1.7385,                 1.8716,                 2.3967,                0.77538,                 0.7931,                0.85418,                0.41277,                 1.6777,                 1.4646,                 2.6763,              0.0002476,              0.0002476,              0.0002476
                     41,                 1.8771,                 2.2208,                 2.6025,                0.71298,                0.86207,                0.84524,                0.40163,                  1.658,                 1.4441,                 2.6485,              0.0002278,              0.0002278,              0.0002278
                     42,                 1.7867,                 1.9742,                 2.5622,                0.74285,                0.93103,                0.87063,                 0.3913,                 1.7719,                 1.5868,                 2.7298,               0.000208,               0.000208,               0.000208
                     43,                 1.6946,                 1.7577,                 2.5166,                0.70285,                0.93103,                0.83841,                0.39603,                 1.7717,                 1.7252,                 2.7342,              0.0001882,              0.0001882,              0.0001882
                     44,                 1.6509,                 1.6913,                 2.5145,                0.84535,                0.75413,                0.85782,                0.43207,                 1.6857,                 1.6156,                 2.6888,              0.0001684,              0.0001684,              0.0001684
                     45,                 1.5707,                 1.6359,                 2.4558,                0.79654,                 0.7931,                0.88618,                0.44738,                 1.6626,                  1.524,                 2.6853,              0.0001486,              0.0001486,              0.0001486
                     46,                  1.599,                 1.7003,                 2.4658,                0.72433,                0.86207,                0.86606,                0.42247,                 1.6703,                 1.5797,                 2.6724,              0.0001288,              0.0001288,              0.0001288
                     47,                 1.5766,                 1.6776,                 2.4597,                0.79228,                0.86207,                0.87512,                  0.412,                 1.6676,                 1.5919,                 2.6591,               0.000109,               0.000109,               0.000109
                     48,                 1.5629,                 1.6342,                 2.4282,                0.75557,                0.89655,                0.86896,                  0.392,                 1.6703,                 1.5731,                 2.6545,               8.92e-05,               8.92e-05,               8.92e-05
                     49,                 1.5446,                 1.6333,                 2.3866,                 0.7356,                0.89655,                0.88397,                0.42081,                 1.6415,                 1.5327,                 2.6239,               6.94e-05,               6.94e-05,               6.94e-05
                     50,                 1.5352,                 1.5883,                 2.4155,                0.78231,                0.82759,                0.89849,                0.42616,                  1.628,                 1.4655,                 2.5979,               4.96e-05,               4.96e-05,               4.96e-05
