                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0085,                 1.6509,                 1.3351,                0.72449,                0.90244,                0.89466,                0.54985,                 1.1524,                  3.246,                 1.9013,                0.00058,                0.00058,                0.00058
                      2,                 1.0828,                 1.1492,                 1.4064,                0.79229,                0.83743,                0.89221,                0.45441,                 1.1988,                 2.4399,                 2.3519,              0.0007906,              0.0007906,              0.0007906
                      3,                 1.0429,                 0.9458,                 1.3425,                0.92038,                0.92683,                 0.9421,                0.64357,                 1.0668,                  1.029,                 1.8478,              0.0006052,              0.0006052,              0.0006052
